"id","isactive","featured","carousel","title","subtitle","carousel_text","carousel_subtext","details","pub_date","url_home","url","wowio","wevolt","drunkduck","syndicate","tags","slug","thumbnail","duration","director","producer"
"36","1","0","1","She Geek Show","The Old Republic","","","<p>Pop Galaxy presents... The She Geek Show<br /><br />Meet Kate, she loves video games!<br /><br />She Geek gives us her thoughts on the upcoming release of the Star Wars MMO, The Old Republic.<br /><br />Follow her on Twitter.com/SheGeekShow<br />and Facebook.com/SheGeekShow</p>","03/29/2011 09:07:31","<p><embed type=""application/x-shockwave-flash"" width=""640"" height=""392"" src=""http://blip.tv/play/hrc7gq75dgA"" allowscriptaccess=""always"" allowfullscreen=""true""></embed></p>","<p><embed type=""application/x-shockwave-flash"" width=""640"" height=""392"" src=""http://blip.tv/play/hrc7gq75dgA"" allowscriptaccess=""always"" allowfullscreen=""true""></embed></p>","0","0","0","0","star wars she geek show knights of the old republic obi wan kenobi pop galaxy popgalaxy shegeekshow kate anakin skywalker tie fighter x-wing stormtroopers gaming vlog video games gamer girl","she-geek-show-theoldrepublic","thumbs/3.29-thumb-PG.jpg","","",""
"37","1","0","1","#MAKECOMICS - Jason Badower","#MAKECOMICS - Jason Badower","","","<p>New series #MAKECOMICS - Jason Badower - Writer / Artist with Studio W.  Writer of True Blood, Heroes, Castle, Big Trouble In Little China, Kung  Fu Panda 2, and The Green Lantern.<br /> <br /> We tell you how to #makecomics<br /> <br /> Check out our weekly blog on http://www.popgalaxy.com</p>","03/30/2011 08:30:38","<p><embed type=""application/x-shockwave-flash"" width=""640"" height=""392"" src=""http://blip.tv/play/hrc7gq%2B3FAA"" allowscriptaccess=""always"" allowfullscreen=""true""></embed></p>","<p><embed type=""application/x-shockwave-flash"" width=""640"" height=""392"" src=""http://blip.tv/play/hrc7gq%2B3FAA"" allowscriptaccess=""always"" allowfullscreen=""true""></embed></p>","0","0","0","0","true blood, heroes, castle, big trouble in little china, kung fu panda 2, and the green lantern, jason badower, #makecomics, make comics, how to make comics, pop galaxy, studio w, dc, marvel, top cow","makecomics-jason-badower","thumbs/jb_make.png","","",""
"38","1","0","1","The Playlist - Episode 1","5 Best Basketball Themed Music Videos","","","<p>Brand new series: THE PLAYLIST from POP GALAXY! We give you a weekly dose of the 5 best music videos in different categories. <br /> <br /> Hosted by Bebe Booth.<br /> <br /> Welcome to THE PLAYLIST!<br /> <br /> In this episode, we cover the 5 best basketball themed music videos... after all, we are in the midst of March Madness!</p>","03/31/2011 11:18:44","<p><embed type=""application/x-shockwave-flash"" width=""640"" height=""392"" src=""http://blip.tv/play/hrc7gq_gVwA"" allowscriptaccess=""always"" allowfullscreen=""true""></embed></p>","<p><embed type=""application/x-shockwave-flash"" width=""640"" height=""392"" src=""http://blip.tv/play/hrc7gq_gVwA"" allowscriptaccess=""always"" allowfullscreen=""true""></embed></p>","0","0","0","0","bebe booth, the playlist, pop galaxy, andy dugan, shaq, michael jackson, jam, i know i got skillz, bell biv devoe, above the rim, master p, make em say ugh, kurtis blow, basketball, final four, ncaa, bracket, butler, vcu, kentucky, uconn","playlist-episode-1","thumbs/pilotthumb.png","3:48","","Pop Galaxy"
"39","1","0","1","She Geek Show - LA NOIRE","She Geek Show - LA NOIRE","","","<p>Pop Galaxy presents... The She Geek Show<br /> <br /> Meet Kate, she loves video games!<br /> <br /> She Geek takes us into the crime filled world of LA NOIRE from Rockstar Games! <br /> <br /> Check out the latest blog entry on Pop Galaxy!<br /> http://popgalaxy.com/blog/<br /> <br /> Follow her on http://Twitter.com/SheGeekShow<br /> and http://Facebook.com/SheGeekShow</p>","04/05/2011 10:04:38","<p><embed type=""application/x-shockwave-flash"" width=""640"" height=""392"" src=""http://blip.tv/play/hrc7grGHQgA"" allowscriptaccess=""always"" allowfullscreen=""true""></embed></p>","<p><embed type=""application/x-shockwave-flash"" width=""640"" height=""392"" src=""http://blip.tv/play/hrc7grGHQgA"" allowscriptaccess=""always"" allowfullscreen=""true""></embed></p>","0","0","0","0","she geek show, la noire, rockstar games, heavy rain, lanoire, shegeekshow, pop galaxy, popgalaxy, mad men, kevin cosgrove, aaron staton, video games, may 17, ps3, xbox 360, hudsucker proxy, the black dahlia, sony","she-geek-show-la-noire","thumbs/4.5-thumb-PG.jpg","4:30","","Pop Galaxy"
"40","1","0","1","Pop Comics: Helen Killer ","Andrew Kreisberg","","","<p>Pop Comics: Helen Killer with Andrew Kreisberg<br /> <br /> Co-Creator and Writer of Helen Killer Andrew Kreisberg talks the origins of his book.<br /> <br /> Buy it today on www.wowio.com/spacedog</p>","04/06/2011 10:57:54","<p><embed type=""application/x-shockwave-flash"" width=""640"" height=""392"" src=""http://blip.tv/play/hrc7grGxbwA"" allowscriptaccess=""always"" allowfullscreen=""true""></embed></p>","<p><embed type=""application/x-shockwave-flash"" width=""640"" height=""392"" src=""http://blip.tv/play/hrc7grGxbwA"" allowscriptaccess=""always"" allowfullscreen=""true""></embed></p>","0","0","0","0","helen, killer, andrew, kreisberg, spacedog, entertainment, pop, galaxy, wowio, helen, keller, tim, rice, arcana, comics","pop-comics-helen-killer","thumbs/helenthumb.png","1:28","",""
"41","1","0","1","She Geek Show - Superhero Games","Superhero Movie Video Games","","","<p>Pop Galaxy presents... The She Geek Show<br /><br />Meet Kate, she loves video games!<br /><br />She Geek talks superhero movie video games... and why they suck?!<br /><br />Check out the latest blog entry on Pop Galaxy!<br />http://popgalaxy.com/blog/<br /><br />Follow her on http://Twitter.com/SheGeekShow<br />and http://Facebook.com/SheGeekShow</p>","04/12/2011 10:15:03","<p><iframe src=""http://blip.tv/play/hrc7grLvRwA.html"" width=""640"" height=""392"" frameborder=""0""></iframe><embed style=""display: none;"" type=""application/x-shockwave-flash"" src=""http://a.blip.tv/api.swf#hrc7grLvRwA""></embed></p>","<p><iframe src=""http://blip.tv/play/hrc7grLvRwA.html"" width=""640"" height=""392"" frameborder=""0""></iframe><embed style=""display: none;"" type=""application/x-shockwave-flash"" src=""http://a.blip.tv/api.swf#hrc7grLvRwA""></embed></p>","0","0","0","0","she geek show captain america thor the incredible hulk superman batman arkham city asylum nintendo playstation star wars video games super soldier green lantern rise of the manhunters michael jackson the experience rio","she-geek-show-superhero-games","thumbs/4-12-thumb-PG.jpg","3:59","","Pop Galaxy"
"44","1","0","1","She Geek Show: A Song for Portal 2","She Geek Show: A Song for Portal 2","","","<p>Pop Galaxy presents... The She Geek Show<br /><br />Meet Kate, she loves video games!<br /><br />She Geek sings a song for you... about PORTAL 2?! You have to watch, and listen, it will change your life.<br /><br />Check out the latest blog entry on Pop Galaxy! A review of the highly anticipated MORTAL KOMBAT reboot!<br />http://popgalaxy.com/blog/2011/apr/26/pop-games-mortal-kombat/<br /><br />Follow me on http://Twitter.com/SheGeekShow<br />and http://Facebook.com/SheGeekShow</p>","04/26/2011 12:29:46","<p><iframe src=""http://blip.tv/play/hrc7grbSQAA.html"" width=""640"" height=""392"" frameborder=""0""></iframe><embed style=""display: none;"" type=""application/x-shockwave-flash"" src=""http://a.blip.tv/api.swf#hrc7grbSQAA""></embed></p>","<p><iframe src=""http://blip.tv/play/hrc7grbSQAA.html"" width=""640"" height=""392"" frameborder=""0""></iframe><embed style=""display: none;"" type=""application/x-shockwave-flash"" src=""http://a.blip.tv/api.swf#hrc7grbSQAA""></embed></p>","0","0","0","0","portal mortal kombat jk simmons co-op she geek show pop galaxy valve video games girl gamer fatality Stephen Merchant Wheatley GLaDOS repulsion gel tractor beams portals J.Jonah Jameson","she-geek-show-song-portal-2","thumbs/4.26.11-pg-thumb.jpg","5:28","","Pop Galaxy"
"45","1","0","1","She Geek Show: PSN is Still Down?!","She Geek Show: PSN is Still Down?!","","","<p>Pop Galaxy presents... The She Geek Show <br /> <br /> Meet Kate, she loves video games!<br /> <br /> The Playstation Network is STILL DOWN. Kate has some words of wisdom for you. Also, a BOOK recommendation! Remember books? <br /> <br /> Upload your PORTAL 2 cover songs here: <a rel=""nofollow"" href=""http://www.youtube.com/watch?v=WS5H3Hf1ons"" target=""_blank"">http://www.youtube.com/watch?v=WS5H3Hf1ons</a> <br /> <br /> Ready Player One on Amazon: <a rel=""nofollow"" href=""http://amzn.com/030788743X"" target=""_blank"">http://amzn.com/030788743X</a> <br /> <br /> Follow Kate on Twitter: <a rel=""nofollow"" href=""http://twitter.com/SheGeekShow"" target=""_blank"">http://twitter.com/SheGeekShow</a> <br /> and Facebook: <a rel=""nofollow"" href=""http://facebook.com/SheGeekShow"" target=""_blank"">http://facebook.com/SheGeekShow</a></p>","05/03/2011 10:00:02","<p><iframe src=""http://blip.tv/play/hrc7grisQgA.html"" width=""640"" height=""392"" frameborder=""0""></iframe><embed style=""display: none;"" type=""application/x-shockwave-flash"" src=""http://a.blip.tv/api.swf#hrc7grisQgA""></embed></p>","<p><iframe src=""http://blip.tv/play/hrc7grisQgA.html"" width=""640"" height=""392"" frameborder=""0""></iframe><embed style=""display: none;"" type=""application/x-shockwave-flash"" src=""http://a.blip.tv/api.swf#hrc7grisQgA""></embed></p>","0","0","0","0","she, geek, show, pop, galaxy, wowio, sony, playstation, network, soe, ernie, cline, fanboys, star, wars, ready, player, one, video, games, nerd, portal, song, kate, girl, gamer","she-geek-show-psn-still-down","thumbs/5-3-thumb-PG.jpg","4:54","","Pop Galaxy"
"46","1","0","1","She Geek Show: One Week Till LA Noire","She Geek Show: One Week Till LA Noire","","","<p>Pop Galaxy presents... the She Geek Show<br /><br />Countdown at 7 days till LA Noire is upon us. Kate gives us a recap of the goodies Rockstar has dreamed up in anticipation of the game. She also defends Bioware a little bit and brags about meeting a hero. All in a week's work, friends.<br /><br />Rockstar's noir fiction series:&nbsp;<a rel=""nofollow"" href=""http://tinyurl.com/3htw8p8"" target=""_blank"">http://tinyurl.com/3htw8p8</a>&nbsp;<br /><br />1947 LA Crime Map:&nbsp;<a rel=""nofollow"" href=""http://tinyurl.com/3dmnn6w"" target=""_blank"">http://tinyurl.com/3dmnn6w</a>&nbsp;<br /><br />Kate on Twitter:&nbsp;<a rel=""nofollow"" href=""http://twitter.com/shegeekshow"" target=""_blank"">http://twitter.com/shegeekshow</a>&nbsp;<br />and Facebook:&nbsp;<a rel=""nofollow"" href=""http://twitter.com/shegeekshow"" target=""_blank"">http://twitter.com/shegeekshow</a>&nbsp;<br /><br />Make sure you check out Kate's recap of Portal 2 IRL on the Pop Galaxy blog:&nbsp;<a rel=""nofollow"" href=""../../../../blog"" target=""_blank"">http://popgalaxy.com/blog</a></p>","05/10/2011 11:44:08","<p><iframe src=""http://blip.tv/play/hrc7grqMHgA.html"" width=""640"" height=""392"" frameborder=""0""></iframe><embed style=""display: none;"" type=""application/x-shockwave-flash"" src=""http://a.blip.tv/api.swf#hrc7grqMHgA""></embed></p>","<p><iframe src=""http://blip.tv/play/hrc7grqMHgA.html"" width=""640"" height=""392"" frameborder=""0""></iframe><embed style=""display: none;"" type=""application/x-shockwave-flash"" src=""http://a.blip.tv/api.swf#hrc7grqMHgA""></embed></p>","0","0","0","0","she, geek, show, gaming, la, noire, bioware, old, republic, star, wars, tie, fighter, wing, rockstar, bondi, video, games, nerd, playstation, sony, pop galaxy, ","she-geek-show-one-week-till-la-noire","thumbs/5.10.11-pg-thumb.jpg","4:44","","Pop Galaxy"
"47","1","1","1","She Geek Show: LA NOIRE REVIEW!","She Geek Show: LA NOIRE REVIEW!","","","<p>Pop Galaxy presents... the She Geek Show</p>
<p>Kate goes over her two biggest concerns about LA Noire based on the trailers versus the actual game. &nbsp;</p>
<p>Are you buying LA Noire? Do you have it already? What do you think?&nbsp;</p>","05/18/2011 10:47:12","<p><iframe src=""http://blip.tv/play/hrc7gryMEQA.html"" width=""640"" height=""392"" frameborder=""0""></iframe><embed style=""display: none;"" type=""application/x-shockwave-flash"" src=""http://a.blip.tv/api.swf#hrc7gryMEQA""></embed></p>","<p><iframe src=""http://blip.tv/play/hrc7gryMEQA.html"" width=""640"" height=""392"" frameborder=""0""></iframe><embed style=""display: none;"" type=""application/x-shockwave-flash"" src=""http://a.blip.tv/api.swf#hrc7gryMEQA""></embed></p>","0","0","0","0","review, la, noire, video, games, shegeekshow, ps3, xbox, gaming, playstation, bondi, rockstar, gameplay, sony, xbox360, pop, galaxy, popgalaxy, she, geek, show, shegeekshow","she-geek-show-la-noire-review","thumbs/5.17.11-pg-thumb.jpg","5:45","","Pop Galaxy"
